Year,UNIT_MEASURE,Regions,Value,M49_country_code,Unit multiplier,SERIES,COMMENT_TS,unique_id,col_caption_name,col_caption_name1_empty,year,value
2016.0,tenge per US dollars in 2010 prices,Akmola,998.8,KAZ,,,,,,,,
2016.0,tenge per US dollars in 2010 prices,Aktobe,1034.2,KAZ,,,,,,,,
2016.0,tenge per US dollars in 2010 prices,Almaty,696.4,KAZ,,,,,,,,
2016.0,tenge per US dollars in 2010 prices,Atyrau,1871.1,KAZ,,,,,,,,
2016.0,tenge per US dollars in 2010 prices,Batys Kazakhstan,524.5,KAZ,,,,,,,,
2016.0,tenge per US dollars in 2010 prices,Zhambyl,453.1,KAZ,,,,,,,,
2016.0,tenge per US dollars in 2010 prices,Karagandy,3391.0,KAZ,,,,,,,,
2016.0,tenge per US dollars in 2010 prices,Kostanay,705.9,KAZ,,,,,,,,
2016.0,tenge per US dollars in 2010 prices,Kyzylorda,297.5,KAZ,,,,,,,,
2016.0,tenge per US dollars in 2010 prices,Mangistau,654.8,KAZ,,,,,,,,
2016.0,tenge per US dollars in 2010 prices,Ontustik Kazakhstan,715.3,KAZ,,,,,,,,
2016.0,tenge per US dollars in 2010 prices,Pavlodar,2614.8,KAZ,,,,,,,,
2016.0,tenge per US dollars in 2010 prices,Soltustik Kazakhstan,535.3,KAZ,,,,,,,,
2016.0,tenge per US dollars in 2010 prices,Shygys Kazakhstan,1778.9,KAZ,,,,,,,,
2016.0,tenge per US dollars in 2010 prices,Nur-Sultan city,750.1,KAZ,,,,,,,,
2016.0,tenge per US dollars in 2010 prices,Almaty city,923.6,KAZ,,,,,,,,
2017.0,"percent, base year 2010",,10.7,KAZ,,,,,,,,
2017.0,"percent, base year 2010",Akmola,14.9,KAZ,,,,,,,,
2017.0,"percent, base year 2010",Aktobe,9.3,KAZ,,,,,,,,
2017.0,"percent, base year 2010",Almaty,14.3,KAZ,,,,,,,,
2017.0,"percent, base year 2010",Atyrau,4.6,KAZ,,,,,,,,
2017.0,"percent, base year 2010",Batys Kazakhstan,3.9,KAZ,,,,,,,,
2017.0,"percent, base year 2010",Zhambyl,12.4,KAZ,,,,,,,,
2017.0,"percent, base year 2010",Karagandy,29.5,KAZ,,,,,,,,
2017.0,"percent, base year 2010",Kostanay,9.6,KAZ,,,,,,,,
2017.0,"percent, base year 2010",Kyzylorda,4.0,KAZ,,,,,,,,
2017.0,"percent, base year 2010",Mangistau,4.0,KAZ,,,,,,,,
2017.0,"percent, base year 2010",Ontustik Kazakhstan,21.8,KAZ,,,,,,,,
2017.0,"percent, base year 2010",Pavlodar,23.7,KAZ,,,,,,,,
2017.0,"percent, base year 2010",Soltustik Kazakhstan,8.0,KAZ,,,,,,,,
2017.0,"percent, base year 2010",Shygys Kazakhstan,21.6,KAZ,,,,,,,,
2017.0,"percent, base year 2010",Nur-Sultan city,3.8,KAZ,,,,,,,,
2017.0,"percent, base year 2010",Almaty city,3.9,KAZ,,,,,,,,
2017.0,tenge per US dollars in 2010 prices,,1161.5,KAZ,,,,,,,,
2017.0,tenge per US dollars in 2010 prices,Akmola,1033.7,KAZ,,,,,,,,
2017.0,tenge per US dollars in 2010 prices,Aktobe,1109.8,KAZ,,,,,,,,
2017.0,tenge per US dollars in 2010 prices,Almaty,720.7,KAZ,,,,,,,,
2017.0,tenge per US dollars in 2010 prices,Atyrau,1905.3,KAZ,,,,,,,,
2017.0,tenge per US dollars in 2010 prices,Batys Kazakhstan,535.5,KAZ,,,,,,,,
2017.0,tenge per US dollars in 2010 prices,Zhambyl,461.1,KAZ,,,,,,,,
2017.0,tenge per US dollars in 2010 prices,Karagandy,3512.8,KAZ,,,,,,,,
2017.0,tenge per US dollars in 2010 prices,Kostanay,756.2,KAZ,,,,,,,,
2017.0,tenge per US dollars in 2010 prices,Kyzylorda,309.4,KAZ,,,,,,,,
2017.0,tenge per US dollars in 2010 prices,Mangistau,677.2,KAZ,,,,,,,,
2017.0,tenge per US dollars in 2010 prices,Ontustik Kazakhstan,755.3,KAZ,,,,,,,,
