Year,Age,Area,Regions,Value,M49_country_code,Reference area,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
2012.0,age: 10-14 years old,,Mangistau,0.0451029474776176,KAZ,,,,,,,
2012.0,age: 10-14 years old,,Ontustik Kazakhstan,0.0082942122986579,KAZ,,,,,,,
2012.0,age: 10-14 years old,,Pavlodar,0.0964436407474382,KAZ,,,,,,,
2012.0,age: 10-14 years old,,Soltustik Kazakhstan,0.0,KAZ,,,,,,,
2012.0,age: 10-14 years old,,Shygys Kazakhstan,0.0780365991650084,KAZ,,,,,,,
2012.0,age: 10-14 years old,,Nur-Sultan city,0.0,KAZ,,,,,,,
2012.0,age: 10-14 years old,,Almaty city,0.0,KAZ,,,,,,,
2012.0,age: 10-14 years old,urban,,0.0375809164106466,KAZ,,,,,,,
2012.0,age: 10-14 years old,urban,Akmola,0.0,KAZ,,,,,,,
2012.0,age: 10-14 years old,urban,Aktobe,0.0737055463423622,KAZ,,,,,,,
2012.0,age: 10-14 years old,urban,Almaty,0.0,KAZ,,,,,,,
2012.0,age: 10-14 years old,urban,Atyrau,0.2160060481693487,KAZ,,,,,,,
2012.0,age: 10-14 years old,urban,Batys Kazakhstan,0.1310015065173249,KAZ,,,,,,,
2012.0,age: 10-14 years old,urban,Zhambyl,0.0,KAZ,,,,,,,
2012.0,age: 10-14 years old,urban,Karagandy,0.0339379952826186,KAZ,,,,,,,
2012.0,age: 10-14 years old,urban,Kostanay,0.0,KAZ,,,,,,,
2012.0,age: 10-14 years old,urban,Kyzylorda,0.0896418806866568,KAZ,,,,,,,
2012.0,age: 10-14 years old,urban,Mangistau,0.0,KAZ,,,,,,,
2012.0,age: 10-14 years old,urban,Ontustik Kazakhstan,0.0239091452480573,KAZ,,,,,,,
2012.0,age: 10-14 years old,urban,Pavlodar,0.0759647523549073,KAZ,,,,,,,
2012.0,age: 10-14 years old,urban,Soltustik Kazakhstan,0.0,KAZ,,,,,,,
2012.0,age: 10-14 years old,urban,Shygys Kazakhstan,0.1039392994491217,KAZ,,,,,,,
2012.0,age: 10-14 years old,urban,Nur-Sultan city,0.0,KAZ,,,,,,,
2012.0,age: 10-14 years old,urban,Almaty city,0.0,KAZ,,,,,,,
2012.0,age: 10-14 years old,rural,,0.0234447348986601,KAZ,,,,,,,
2012.0,age: 10-14 years old,rural,Akmola,0.0,KAZ,,,,,,,
2012.0,age: 10-14 years old,rural,Aktobe,0.0,KAZ,,,,,,,
2012.0,age: 10-14 years old,rural,Almaty,0.0381228317639434,KAZ,,,,,,,
2012.0,age: 10-14 years old,rural,Atyrau,0.088519075860848,KAZ,,,,,,,
2012.0,age: 10-14 years old,rural,Batys Kazakhstan,0.0,KAZ,,,,,,,
2012.0,age: 10-14 years old,rural,Zhambyl,0.0,KAZ,,,,,,,
2012.0,age: 10-14 years old,rural,Karagandy,0.0,KAZ,,,,,,,
2012.0,age: 10-14 years old,rural,Kostanay,0.0694806322737536,KAZ,,,,,,,
2012.0,age: 10-14 years old,rural,Kyzylorda,0.0,KAZ,,,,,,,
2012.0,age: 10-14 years old,rural,Mangistau,0.0856274350301836,KAZ,,,,,,,
2012.0,age: 10-14 years old,rural,Ontustik Kazakhstan,0.0,KAZ,,,,,,,
2012.0,age: 10-14 years old,rural,Pavlodar,0.1320393477256222,KAZ,,,,,,,
2012.0,age: 10-14 years old,rural,Soltustik Kazakhstan,0.0,KAZ,,,,,,,
2012.0,age: 10-14 years old,rural,Shygys Kazakhstan,0.0520792646407832,KAZ,,,,,,,
2012.0,15-19,,,33.820040047206206,KAZ,,,,,,,
2012.0,,,Akmola,34.51160438106726,KAZ,,,,,,,
2012.0,,,Aktobe,29.618242377658213,KAZ,,,,,,,
2012.0,,,Almaty,36.44040368376144,KAZ,,,,,,,
2012.0,,,Atyrau,54.24666526009799,KAZ,,,,,,,
2012.0,,,Batys Kazakhstan,34.750547298075816,KAZ,,,,,,,
