Year,UNIT_MEASURE,SERIES,Regions,Value,M49_country_code,Reference area,GeoCode,unique_id,col_caption_name,col_caption_name1_empty,year,value
2016.0,thousand of tenge,_L_KZ_010502_1A,Atyrau,99505.4,KAZ,,,,,,,
2016.0,thousand of tenge,_L_KZ_010502_1A,Batys Kazakhstan,0.0,KAZ,,,,,,,
2016.0,thousand of tenge,_L_KZ_010502_1A,Zhambyl,1.3,KAZ,,,,,,,
2016.0,thousand of tenge,_L_KZ_010502_1A,Karagandy,12260.0,KAZ,,,,,,,
2016.0,thousand of tenge,_L_KZ_010502_1A,Kostanay,26500.0,KAZ,,,,,,,
2016.0,thousand of tenge,_L_KZ_010502_1A,Kyzylorda,62604.0,KAZ,,,,,,,
2016.0,thousand of tenge,_L_KZ_010502_1A,Mangistau,0.0,KAZ,,,,,,,
2016.0,thousand of tenge,_L_KZ_010502_1A,Pavlodar,38518.5,KAZ,,,,,,,
2016.0,thousand of tenge,_L_KZ_010502_1A,Soltustik Kazakhstan,0.0,KAZ,,,,,,,
2016.0,thousand of tenge,_L_KZ_010502_1A,Turkistan,0.0,KAZ,,,,,,,
2016.0,thousand of tenge,_L_KZ_010502_1A,Shygys Kazakhstan,90300.0,KAZ,,,,,,,
2016.0,thousand of tenge,_L_KZ_010502_1A,Nur-Sultan city,0.0,KAZ,,,,,,,
2016.0,thousand of tenge,_L_KZ_010502_1A,Almaty city,0.0,KAZ,,,,,,,
2016.0,thousand of tenge,_L_KZ_010502_1A,Shymkent city,0.0,KAZ,,,,,,,
2016.0,thousand of tenge,_L_KZ_010502_1B,,3736174.0,KAZ,,,,,,,
2016.0,thousand of tenge,_L_KZ_010502_1B,Akmola,0.0,KAZ,,,,,,,
2016.0,thousand of tenge,_L_KZ_010502_1B,Aktobe,134695.5,KAZ,,,,,,,
2016.0,thousand of tenge,_L_KZ_010502_1B,Almaty,4246.0,KAZ,,,,,,,
2016.0,thousand of tenge,_L_KZ_010502_1B,Atyrau,145923.4,KAZ,,,,,,,
2016.0,thousand of tenge,_L_KZ_010502_1B,Batys Kazakhstan,4000.0,KAZ,,,,,,,
2016.0,thousand of tenge,_L_KZ_010502_1B,Zhambyl,110.9,KAZ,,,,,,,
2016.0,thousand of tenge,_L_KZ_010502_1B,Karagandy,0.0,KAZ,,,,,,,
2016.0,thousand of tenge,_L_KZ_010502_1B,Kostanay,0.0,KAZ,,,,,,,
2016.0,thousand of tenge,_L_KZ_010502_1B,Kyzylorda,0.0,KAZ,,,,,,,
2016.0,thousand of tenge,_L_KZ_010502_1B,Mangistau,58310.0,KAZ,,,,,,,
2016.0,thousand of tenge,_L_KZ_010502_1B,Pavlodar,0.0,KAZ,,,,,,,
2016.0,thousand of tenge,_L_KZ_010502_1B,Soltustik Kazakhstan,103300.0,KAZ,,,,,,,
2016.0,thousand of tenge,_L_KZ_010502_1B,Turkistan,0.0,KAZ,,,,,,,
2016.0,thousand of tenge,_L_KZ_010502_1B,Shygys Kazakhstan,18900.0,KAZ,,,,,,,
2016.0,thousand of tenge,_L_KZ_010502_1B,Nur-Sultan city,0.0,KAZ,,,,,,,
2016.0,thousand of tenge,_L_KZ_010502_1B,Almaty city,3266688.2,KAZ,,,,,,,
2016.0,thousand of tenge,_L_KZ_010502_1B,Shymkent city,0.0,KAZ,,,,,,,
2017.0,thousand of tenge,_L_KZ_010502_1A,,2613906.9,KAZ,,,,,,,
2017.0,thousand of tenge,_L_KZ_010502_1A,Akmola,126663.1,KAZ,,,,,,,
2017.0,thousand of tenge,_L_KZ_010502_1A,Aktobe,315259.9,KAZ,,,,,,,
2017.0,thousand of tenge,_L_KZ_010502_1A,Almaty,1213899.0,KAZ,,,,,,,
2017.0,thousand of tenge,_L_KZ_010502_1A,Atyrau,4589.4,KAZ,,,,,,,
2017.0,thousand of tenge,_L_KZ_010502_1A,Batys Kazakhstan,77420.2,KAZ,,,,,,,
2017.0,thousand of tenge,_L_KZ_010502_1A,Zhambyl,17.9,KAZ,,,,,,,
2017.0,thousand of tenge,_L_KZ_010502_1A,Karagandy,162781.3,KAZ,,,,,,,
2017.0,thousand of tenge,_L_KZ_010502_1A,Kostanay,27200.0,KAZ,,,,,,,
2017.0,thousand of tenge,_L_KZ_010502_1A,Kyzylorda,72418.0,KAZ,,,,,,,
2017.0,thousand of tenge,_L_KZ_010502_1A,Mangistau,0.0,KAZ,,,,,,,
2017.0,thousand of tenge,_L_KZ_010502_1A,Pavlodar,503358.1,KAZ,,,,,,,
2017.0,thousand of tenge,_L_KZ_010502_1A,Soltustik Kazakhstan,2600.0,KAZ,,,,,,,
2017.0,thousand of tenge,_L_KZ_010502_1A,Turkistan,100.0,KAZ,,,,,,,
2017.0,thousand of tenge,_L_KZ_010502_1A,Shygys Kazakhstan,107600.0,KAZ,,,,,,,
2017.0,thousand of tenge,_L_KZ_010502_1A,Nur-Sultan city,0.0,KAZ,,,,,,,
2017.0,thousand of tenge,_L_KZ_010502_1A,Almaty city,0.0,KAZ,,,,,,,
2017.0,thousand of tenge,_L_KZ_010502_1A,Shymkent city,0.0,KAZ,,,,,,,
2017.0,thousand of tenge,_L_KZ_010502_1B,,4826476.6,KAZ,,,,,,,
2017.0,thousand of tenge,_L_KZ_010502_1B,Akmola,0.0,KAZ,,,,,,,
2017.0,thousand of tenge,_L_KZ_010502_1B,Aktobe,0.0,KAZ,,,,,,,
2017.0,thousand of tenge,_L_KZ_010502_1B,Almaty,58752.0,KAZ,,,,,,,
2017.0,thousand of tenge,_L_KZ_010502_1B,Atyrau,0.0,KAZ,,,,,,,
2017.0,thousand of tenge,_L_KZ_010502_1B,Batys Kazakhstan,0.0,KAZ,,,,,,,
2017.0,thousand of tenge,_L_KZ_010502_1B,Zhambyl,93.3,KAZ,,,,,,,
2017.0,thousand of tenge,_L_KZ_010502_1B,Karagandy,1402.4,KAZ,,,,,,,
2017.0,thousand of tenge,_L_KZ_010502_1B,Kostanay,0.0,KAZ,,,,,,,
2017.0,thousand of tenge,_L_KZ_010502_1B,Kyzylorda,0.0,KAZ,,,,,,,
2017.0,thousand of tenge,_L_KZ_010502_1B,Mangistau,224205.0,KAZ,,,,,,,
2017.0,thousand of tenge,_L_KZ_010502_1B,Pavlodar,0.0,KAZ,,,,,,,
2017.0,thousand of tenge,_L_KZ_010502_1B,Soltustik Kazakhstan,87200.0,KAZ,,,,,,,
2017.0,thousand of tenge,_L_KZ_010502_1B,Turkistan,0.0,KAZ,,,,,,,
2017.0,thousand of tenge,_L_KZ_010502_1B,Shygys Kazakhstan,51500.0,KAZ,,,,,,,
2017.0,thousand of tenge,_L_KZ_010502_1B,Nur-Sultan city,0.0,KAZ,,,,,,,
2017.0,thousand of tenge,_L_KZ_010502_1B,Almaty city,4403323.9,KAZ,,,,,,,
2017.0,thousand of tenge,_L_KZ_010502_1B,Shymkent city,0.0,KAZ,,,,,,,
2018.0,thousand of tenge,_L_KZ_010502_1A,,1219596.0,KAZ,,,,,,,
2018.0,thousand of tenge,_L_KZ_010502_1A,Akmola,143191.2,KAZ,,,,,,,
2018.0,thousand of tenge,_L_KZ_010502_1A,Aktobe,34530.4,KAZ,,,,,,,
2018.0,thousand of tenge,_L_KZ_010502_1A,Almaty,674039.0,KAZ,,,,,,,
2018.0,thousand of tenge,_L_KZ_010502_1A,Atyrau,0.0,KAZ,,,,,,,
2018.0,thousand of tenge,_L_KZ_010502_1A,Batys Kazakhstan,0.0,KAZ,,,,,,,
2018.0,thousand of tenge,_L_KZ_010502_1A,Zhambyl,71.7,KAZ,,,,,,,
2018.0,thousand of tenge,_L_KZ_010502_1A,Karagandy,21981.0,KAZ,,,,,,,
2018.0,thousand of tenge,_L_KZ_010502_1A,Kostanay,48704.0,KAZ,,,,,,,
2018.0,thousand of tenge,_L_KZ_010502_1A,Kyzylorda,60881.0,KAZ,,,,,,,
2018.0,thousand of tenge,_L_KZ_010502_1A,Mangistau,0.0,KAZ,,,,,,,
2018.0,thousand of tenge,_L_KZ_010502_1A,Pavlodar,47217.7,KAZ,,,,,,,
2018.0,thousand of tenge,_L_KZ_010502_1A,Soltustik Kazakhstan,1500.0,KAZ,,,,,,,
2018.0,thousand of tenge,_L_KZ_010502_1A,Turkistan,0.0,KAZ,,,,,,,
2018.0,thousand of tenge,_L_KZ_010502_1A,Shygys Kazakhstan,187480.0,KAZ,,,,,,,
2018.0,thousand of tenge,_L_KZ_010502_1A,Nur-Sultan city,0.0,KAZ,,,,,,,
2018.0,thousand of tenge,_L_KZ_010502_1A,Almaty city,0.0,KAZ,,,,,,,
2018.0,thousand of tenge,_L_KZ_010502_1A,Shymkent city,0.0,KAZ,,,,,,,
2018.0,thousand of tenge,_L_KZ_010502_1B,,4014984.1,KAZ,,,,,,,
2018.0,thousand of tenge,_L_KZ_010502_1B,Akmola,338700.0,KAZ,,,,,,,
2018.0,thousand of tenge,_L_KZ_010502_1B,Aktobe,5971.0,KAZ,,,,,,,
2018.0,thousand of tenge,_L_KZ_010502_1B,Almaty,7309.0,KAZ,,,,,,,
2018.0,thousand of tenge,_L_KZ_010502_1B,Atyrau,154154.3,KAZ,,,,,,,
2018.0,thousand of tenge,_L_KZ_010502_1B,Batys Kazakhstan,0.0,KAZ,,,,,,,
2018.0,thousand of tenge,_L_KZ_010502_1B,Zhambyl,85.5,KAZ,,,,,,,
2018.0,thousand of tenge,_L_KZ_010502_1B,Karagandy,295447.0,KAZ,,,,,,,
2018.0,thousand of tenge,_L_KZ_010502_1B,Kostanay,0.0,KAZ,,,,,,,
2018.0,thousand of tenge,_L_KZ_010502_1B,Kyzylorda,308500.0,KAZ,,,,,,,
2018.0,thousand of tenge,_L_KZ_010502_1B,Mangistau,39400.0,KAZ,,,,,,,
2018.0,thousand of tenge,_L_KZ_010502_1B,Pavlodar,75620.3,KAZ,,,,,,,
2018.0,thousand of tenge,_L_KZ_010502_1B,Soltustik Kazakhstan,101200.0,KAZ,,,,,,,
2018.0,thousand of tenge,_L_KZ_010502_1B,Turkistan,0.0,KAZ,,,,,,,
2018.0,thousand of tenge,_L_KZ_010502_1B,Shygys Kazakhstan,0.0,KAZ,,,,,,,
2018.0,thousand of tenge,_L_KZ_010502_1B,Nur-Sultan city,0.0,KAZ,,,,,,,
2018.0,thousand of tenge,_L_KZ_010502_1B,Almaty city,2688597.0,KAZ,,,,,,,
2018.0,thousand of tenge,_L_KZ_010502_1B,Shymkent city,0.0,KAZ,,,,,,,
2019.0,thousand of tenge,_L_KZ_010502_1A,,1190605.2,KAZ,,,,,,,
2019.0,thousand of tenge,_L_KZ_010502_1A,Akmola,0.0,KAZ,,,,,,,
2019.0,thousand of tenge,_L_KZ_010502_1A,Aktobe,699.5,KAZ,,,,,,,
2019.0,thousand of tenge,_L_KZ_010502_1A,Almaty,487687.0,KAZ,,,,,,,
2019.0,thousand of tenge,_L_KZ_010502_1A,Atyrau,0.0,KAZ,,,,,,,
2019.0,thousand of tenge,_L_KZ_010502_1A,Batys Kazakhstan,464678.1,KAZ,,,,,,,
2019.0,thousand of tenge,_L_KZ_010502_1A,Zhambyl,21.0,KAZ,,,,,,,
2019.0,thousand of tenge,_L_KZ_010502_1A,Karagandy,61401.5,KAZ,,,,,,,
2019.0,thousand of tenge,_L_KZ_010502_1A,Kostanay,35377.9,KAZ,,,,,,,
2019.0,thousand of tenge,_L_KZ_010502_1A,Kyzylorda,38342.0,KAZ,,,,,,,
2019.0,thousand of tenge,_L_KZ_010502_1A,Mangistau,0.0,KAZ,,,,,,,
2019.0,thousand of tenge,_L_KZ_010502_1A,Pavlodar,0.0,KAZ,,,,,,,
2019.0,thousand of tenge,_L_KZ_010502_1A,Soltustik Kazakhstan,1000.0,KAZ,,,,,,,
2019.0,thousand of tenge,_L_KZ_010502_1A,Turkistan,0.0,KAZ,,,,,,,
2019.0,thousand of tenge,_L_KZ_010502_1A,Shygys Kazakhstan,101398.2,KAZ,,,,,,,
2019.0,thousand of tenge,_L_KZ_010502_1A,Nur-Sultan city,0.0,KAZ,,,,,,,
2019.0,thousand of tenge,_L_KZ_010502_1A,Almaty city,0.0,KAZ,,,,,,,
2019.0,thousand of tenge,_L_KZ_010502_1A,Shymkent city,0.0,KAZ,,,,,,,
2019.0,thousand of tenge,_L_KZ_010502_1B,,5353189.7,KAZ,,,,,,,
2019.0,thousand of tenge,_L_KZ_010502_1B,Akmola,0.0,KAZ,,,,,,,
2019.0,thousand of tenge,_L_KZ_010502_1B,Aktobe,10000.0,KAZ,,,,,,,
2019.0,thousand of tenge,_L_KZ_010502_1B,Almaty,62492.0,KAZ,,,,,,,
2019.0,thousand of tenge,_L_KZ_010502_1B,Atyrau,0.0,KAZ,,,,,,,
2019.0,thousand of tenge,_L_KZ_010502_1B,Batys Kazakhstan,6950.0,KAZ,,,,,,,
2019.0,thousand of tenge,_L_KZ_010502_1B,Zhambyl,78.9,KAZ,,,,,,,
2019.0,thousand of tenge,_L_KZ_010502_1B,Karagandy,19100.4,KAZ,,,,,,,
2019.0,thousand of tenge,_L_KZ_010502_1B,Kostanay,0.0,KAZ,,,,,,,
2019.0,thousand of tenge,_L_KZ_010502_1B,Kyzylorda,38064.0,KAZ,,,,,,,
2019.0,thousand of tenge,_L_KZ_010502_1B,Mangistau,0.0,KAZ,,,,,,,
2019.0,thousand of tenge,_L_KZ_010502_1B,Pavlodar,478779.1,KAZ,,,,,,,
2019.0,thousand of tenge,_L_KZ_010502_1B,Soltustik Kazakhstan,0.0,KAZ,,,,,,,
2019.0,thousand of tenge,_L_KZ_010502_1B,Turkistan,120000.0,KAZ,,,,,,,
2019.0,thousand of tenge,_L_KZ_010502_1B,Shygys Kazakhstan,56876.0,KAZ,,,,,,,
2019.0,thousand of tenge,_L_KZ_010502_1B,Nur-Sultan city,0.0,KAZ,,,,,,,
2019.0,thousand of tenge,_L_KZ_010502_1B,Almaty city,3526720.3,KAZ,,,,,,,
2019.0,thousand of tenge,_L_KZ_010502_1B,Shymkent city,1034129.0,KAZ,,,,,,,
2020.0,thousand of tenge,_L_KZ_010502_1A,,7408195.5,KAZ,,,,,,,
2020.0,thousand of tenge,_L_KZ_010502_1A,Akmola,565149.2,KAZ,,,,,,,
2020.0,thousand of tenge,_L_KZ_010502_1A,Aktobe,0.0,KAZ,,,,,,,
2020.0,thousand of tenge,_L_KZ_010502_1A,Almaty,1006824.0,KAZ,,,,,,,
2020.0,thousand of tenge,_L_KZ_010502_1A,Atyrau,0.0,KAZ,,,,,,,
2020.0,thousand of tenge,_L_KZ_010502_1A,Batys Kazakhstan,19241.8,KAZ,,,,,,,
2020.0,thousand of tenge,_L_KZ_010502_1A,Zhambyl,0.0,KAZ,,,,,,,
2020.0,thousand of tenge,_L_KZ_010502_1A,Karagandy,50781.5,KAZ,,,,,,,
2020.0,thousand of tenge,_L_KZ_010502_1A,Kostanay,508056.5,KAZ,,,,,,,
2020.0,thousand of tenge,_L_KZ_010502_1A,Kyzylorda,0.0,KAZ,,,,,,,
2020.0,thousand of tenge,_L_KZ_010502_1A,Mangistau,0.0,KAZ,,,,,,,
2020.0,thousand of tenge,_L_KZ_010502_1A,Pavlodar,0.0,KAZ,,,,,,,
2020.0,thousand of tenge,_L_KZ_010502_1A,Soltustik Kazakhstan,193492.9,KAZ,,,,,,,
2020.0,thousand of tenge,_L_KZ_010502_1A,Turkistan,348687.0,KAZ,,,,,,,
2020.0,thousand of tenge,_L_KZ_010502_1A,Shygys Kazakhstan,486711.6,KAZ,,,,,,,
2020.0,thousand of tenge,_L_KZ_010502_1A,Nur-Sultan city,2256052.9,KAZ,,,,,,,
2020.0,thousand of tenge,_L_KZ_010502_1A,Almaty city,1687618.1,KAZ,,,,,,,
2020.0,thousand of tenge,_L_KZ_010502_1A,Shymkent city,285580.0,KAZ,,,,,,,
2020.0,thousand of tenge,_L_KZ_010502_1B,,1979722.4,KAZ,,,,,,,
2020.0,thousand of tenge,_L_KZ_010502_1B,Akmola,0.0,KAZ,,,,,,,
2020.0,thousand of tenge,_L_KZ_010502_1B,Aktobe,0.0,KAZ,,,,,,,
2020.0,thousand of tenge,_L_KZ_010502_1B,Almaty,88336.0,KAZ,,,,,,,
2020.0,thousand of tenge,_L_KZ_010502_1B,Atyrau,900747.8,KAZ,,,,,,,
2020.0,thousand of tenge,_L_KZ_010502_1B,Batys Kazakhstan,0.0,KAZ,,,,,,,
2020.0,thousand of tenge,_L_KZ_010502_1B,Zhambyl,260369.6,KAZ,,,,,,,
