Year,Показатель,Территория,Местность,Образование главы домохозяйства,Квинтиль индекса благосостояния,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2018.0,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,,,Богатейший,98.4,KGZ,,,,,
,,,,,,,UZB,01_101_,Total,True,2000.0,14.3
,,,,,,,UZB,01_101_,Total,True,2001.0,11.6
,,,,,,,UZB,01_101_,Total,True,2002.0,12.9
,,,,,,,UZB,01_101_,Total,True,2003.0,10.7
,,,,,,,UZB,01_101_,Total,True,2004.0,9.4
,,,,,,,UZB,01_101_,Total,True,2005.0,8.9
,,,,,,,UZB,01_101_,Total,True,2006.0,10.2
,,,,,,,UZB,01_101_,Total,True,2007.0,9.7
,,,,,,,UZB,01_101_,Total,True,2008.0,8.6
,,,,,,,UZB,01_101_,Total,True,2009.0,8.6
,,,,,,,UZB,01_101_,Total,True,2010.0,9.2
,,,,,,,UZB,01_101_,Total,True,2011.0,17.8
,,,,,,,UZB,01_101_,Total,True,2012.0,27.2
,,,,,,,UZB,01_101_,Total,True,2013.0,32.8
,,,,,,,UZB,01_101_,Total,True,2014.0,35.3
,,,,,,,UZB,01_101_,Total,True,2015.0,43.1
,,,,,,,UZB,01_101_,Total,True,2016.0,51.7
,,,,,,,UZB,01_101_,Total,True,2017.0,54.2
,,,,,,,UZB,01_101_,Total,True,2018.0,57.1
,,,,,,,UZB,01_101_,Total,True,2019.0,54.0
,,,,,,,UZB,01_101_,Total,True,2020.0,49.8
,,,,,,,UZB,01_101_,Total,True,2021.0,80.8
