Year,UNIT_MEASURE,Regions,Value,M49_country_code,unique_id,col_caption_name,col_caption_name1_empty,year,value
2016.0,Percent,Pavlodar,0.0,KAZ,,,,,
2016.0,Percent,Soltustik Kazakhstan,0.0,KAZ,,,,,
2016.0,Percent,Shygys Kazakhstan,7.7,KAZ,,,,,
2017.0,Percent,,4.4,KAZ,,,,,
2017.0,Percent,Akmola,0.0,KAZ,,,,,
2017.0,Percent,Aktobe,0.0,KAZ,,,,,
2017.0,Percent,Almaty,0.0,KAZ,,,,,
2017.0,Percent,Atyrau,80.0,KAZ,,,,,
2017.0,Percent,Batys Kazakhstan,0.0,KAZ,,,,,
2017.0,Percent,Zhambyl,0.0,KAZ,,,,,
2017.0,Percent,Karagandy,0.0,KAZ,,,,,
2017.0,Percent,Kostanay,0.0,KAZ,,,,,
2017.0,Percent,Kyzylorda,0.0,KAZ,,,,,
2017.0,Percent,Mangistau,100.0,KAZ,,,,,
2017.0,Percent,Ontustik Kazakhstan,14.3,KAZ,,,,,
2017.0,Percent,Pavlodar,0.0,KAZ,,,,,
2017.0,Percent,Soltustik Kazakhstan,0.0,KAZ,,,,,
2017.0,Percent,Shygys Kazakhstan,7.7,KAZ,,,,,
2018.0,Percent,,3.6,KAZ,,,,,
2018.0,Percent,Akmola,0.0,KAZ,,,,,
2018.0,Percent,Aktobe,0.0,KAZ,,,,,
2018.0,Percent,Almaty,0.0,KAZ,,,,,
2018.0,Percent,Atyrau,80.0,KAZ,,,,,
2018.0,Percent,Batys Kazakhstan,0.0,KAZ,,,,,
2018.0,Percent,Zhambyl,0.0,KAZ,,,,,
2018.0,Percent,Karagandy,0.0,KAZ,,,,,
2018.0,Percent,Kostanay,0.0,KAZ,,,,,
2018.0,Percent,Kyzylorda,0.0,KAZ,,,,,
2018.0,Percent,Mangistau,100.0,KAZ,,,,,
2018.0,Percent,Pavlodar,0.0,KAZ,,,,,
2018.0,Percent,Soltustik Kazakhstan,0.0,KAZ,,,,,
2018.0,Percent,Turkistan,12.5,KAZ,,,,,
2018.0,Percent,Shygys Kazakhstan,0.0,KAZ,,,,,
2019.0,Percent,,24.7,KAZ,,,,,
2019.0,Percent,Akmola,8.3,KAZ,,,,,
2019.0,Percent,Aktobe,0.0,KAZ,,,,,
2019.0,Percent,Almaty,66.7,KAZ,,,,,
2019.0,Percent,Atyrau,0.0,KAZ,,,,,
2019.0,Percent,Batys Kazakhstan,11.1,KAZ,,,,,
2019.0,Percent,Zhambyl,0.0,KAZ,,,,,
2019.0,Percent,Karagandy,0.0,KAZ,,,,,
2019.0,Percent,Kostanay,0.0,KAZ,,,,,
2019.0,Percent,Kyzylorda,0.0,KAZ,,,,,
2019.0,Percent,Mangistau,0.0,KAZ,,,,,
2019.0,Percent,Pavlodar,40.0,KAZ,,,,,
2019.0,Percent,Soltustik Kazakhstan,0.0,KAZ,,,,,
2019.0,Percent,Turkistan,25.0,KAZ,,,,,
2019.0,Percent,Shygys Kazakhstan,57.1,KAZ,,,,,
2020.0,Percent,,30.76,KAZ,,,,,
2020.0,Percent,Akmola,8.3,KAZ,,,,,
2020.0,Percent,Aktobe,9.1,KAZ,,,,,
2020.0,Percent,Almaty,83.3,KAZ,,,,,
2020.0,Percent,Atyrau,16.7,KAZ,,,,,
2020.0,Percent,Batys Kazakhstan,25.0,KAZ,,,,,
2020.0,Percent,Zhambyl,0.0,KAZ,,,,,
2020.0,Percent,Karagandy,0.0,KAZ,,,,,
2020.0,Percent,Kostanay,0.0,KAZ,,,,,
2020.0,Percent,Kyzylorda,0.0,KAZ,,,,,
2020.0,Percent,Mangistau,0.0,KAZ,,,,,
2020.0,Percent,Pavlodar,100.0,KAZ,,,,,
2020.0,Percent,Soltustik Kazakhstan,0.0,KAZ,,,,,
2020.0,Percent,Turkistan,25.0,KAZ,,,,,
2020.0,Percent,Shygys Kazakhstan,43.75,KAZ,,,,,
,,,,UZB,01_101_,Total,True,2000.0,1.3
,,,,UZB,01_101_,Total,True,2001.0,1.1
,,,,UZB,01_101_,Total,True,2002.0,1.0
,,,,UZB,01_101_,Total,True,2003.0,1.1
,,,,UZB,01_101_,Total,True,2004.0,1.0
,,,,UZB,01_101_,Total,True,2005.0,1.0
,,,,UZB,01_101_,Total,True,2006.0,1.1
,,,,UZB,01_101_,Total,True,2007.0,1.1
,,,,UZB,01_101_,Total,True,2008.0,1.3
,,,,UZB,01_101_,Total,True,2009.0,1.4
,,,,UZB,01_101_,Total,True,2010.0,1.3
,,,,UZB,01_101_,Total,True,2011.0,1.3
,,,,UZB,01_101_,Total,True,2012.0,1.1
,,,,UZB,01_101_,Total,True,2013.0,1.2
,,,,UZB,01_101_,Total,True,2014.0,1.4
,,,,UZB,01_101_,Total,True,2015.0,1.3
,,,,UZB,01_101_,Total,True,2016.0,1.2
,,,,UZB,01_101_,Total,True,2017.0,1.4
,,,,UZB,01_101_,Total,True,2018.0,1.5
,,,,UZB,01_101_,Total,True,2019.0,1.6
,,,,UZB,01_101_,Total,True,2020.0,1.6
,,,,UZB,01_101_,Total,True,2021.0,1.5
