Year,UNIT_MEASURE,SERIES,Regions,Value,M49_country_code,Unit multiplier,COMPOSITE_BREAKDOWN,unique_id,col_caption_name,year,value
2011.0,millions tonnes,_L_KZ_090102_1R,Mangistau,4.6,KAZ,,,,,,
2012.0,millions tonnes,Cargo transported by all means of transport,,3231.8,KAZ,,,,,,
2012.0,millions tonnes,Pipeline,,213.2,KAZ,,,,,,
2012.0,millions tonnes,Railway,,294.8,KAZ,,,,,,
2012.0,millions tonnes,Automobile,,2718.4,KAZ,,,,,,
2012.0,millions tonnes,Air,,0.2,KAZ,,,,,,
2012.0,millions tonnes,Inland water еransport,,1.3,KAZ,,,,,,
2012.0,millions tonnes,nautical,,4.0,KAZ,,,,,,
2012.0,millions tonnes,,Akmola,112.6,KAZ,,,,,,
2012.0,millions tonnes,,Aktobe,58.1,KAZ,,,,,,
2012.0,millions tonnes,,Almaty,158.1,KAZ,,,,,,
2012.0,millions tonnes,,Atyrau,140.6,KAZ,,,,,,
2012.0,millions tonnes,,Batys Kazakhstan,35.8,KAZ,,,,,,
2012.0,millions tonnes,,Zhambyl,80.4,KAZ,,,,,,
2012.0,millions tonnes,,Karagandy,619.7,KAZ,,,,,,
2012.0,millions tonnes,,Kostanay,275.6,KAZ,,,,,,
2012.0,millions tonnes,,Kyzylorda,98.4,KAZ,,,,,,
2012.0,millions tonnes,,Mangistau,207.7,KAZ,,,,,,
2012.0,millions tonnes,,Ontustik Kazakhstan,123.8,KAZ,,,,,,
2012.0,millions tonnes,,Pavlodar,103.0,KAZ,,,,,,
2012.0,millions tonnes,,Soltustik Kazakhstan,46.2,KAZ,,,,,,
2012.0,millions tonnes,,Shygys Kazakhstan,476.9,KAZ,,,,,,
2012.0,millions tonnes,,Nur-Sultan city,112.6,KAZ,,,,,,
2012.0,millions tonnes,,Almaty city,168.3,KAZ,,,,,,
2012.0,mln.people,Passengers transported by all means of transport,,18484.6,KAZ,,,,,,
2012.0,mln.people,Railway transport,,24.4,KAZ,,,,,,
2012.0,mln.people,Automobile,,18380.2,KAZ,,,,,,
2012.0,mln.people,Inland water еransport,,0.1,KAZ,,,,,,
2012.0,mln.people,Air,,4.5,KAZ,,,,,,
2012.0,mln.people,City electric transport,,69.6,KAZ,,,,,,
2012.0,mln.people,,Akmola,1482.1,KAZ,,,,,,
2012.0,mln.people,,Aktobe,220.1,KAZ,,,,,,
2012.0,mln.people,,Almaty,597.2,KAZ,,,,,,
2012.0,mln.people,,Atyrau,155.4,KAZ,,,,,,
2012.0,mln.people,,Batys Kazakhstan,402.3,KAZ,,,,,,
2012.0,mln.people,,Zhambyl,802.8,KAZ,,,,,,
2012.0,mln.people,,Karagandy,2111.4,KAZ,,,,,,
2012.0,mln.people,,Kostanay,1575.5,KAZ,,,,,,
2012.0,mln.people,,Kyzylorda,232.4,KAZ,,,,,,
2012.0,mln.people,,Mangistau,81.5,KAZ,,,,,,
2012.0,mln.people,,Ontustik Kazakhstan,2149.9,KAZ,,,,,,
2012.0,mln.people,,Pavlodar,1166.3,KAZ,,,,,,
2012.0,mln.people,,Soltustik Kazakhstan,470.7,KAZ,,,,,,
2012.0,mln.people,,Shygys Kazakhstan,1459.9,KAZ,,,,,,
2012.0,mln.people,,Nur-Sultan city,1750.1,KAZ,,,,,,
2012.0,mln.people,,Almaty city,3802.8,KAZ,,,,,,
2012.0,millions tonnes,_L_KZ_090102_1J,,2718.4,KAZ,,,,,,
2012.0,millions tonnes,_L_KZ_090102_1J,Akmola,112.6,KAZ,,,,,,
2012.0,millions tonnes,_L_KZ_090102_1J,Aktobe,58.1,KAZ,,,,,,
2012.0,millions tonnes,_L_KZ_090102_1J,Almaty,158.1,KAZ,,,,,,
2012.0,millions tonnes,_L_KZ_090102_1J,Atyrau,72.4,KAZ,,,,,,
2012.0,millions tonnes,_L_KZ_090102_1J,Batys Kazakhstan,35.7,KAZ,,,,,,
2012.0,millions tonnes,_L_KZ_090102_1J,Zhambyl,80.4,KAZ,,,,,,
2012.0,millions tonnes,_L_KZ_090102_1J,Karagandy,619.7,KAZ,,,,,,
2012.0,millions tonnes,_L_KZ_090102_1J,Kostanay,275.6,KAZ,,,,,,
2012.0,millions tonnes,_L_KZ_090102_1J,Kyzylorda,98.4,KAZ,,,,,,
2012.0,millions tonnes,_L_KZ_090102_1J,Mangistau,203.7,KAZ,,,,,,
2012.0,millions tonnes,_L_KZ_090102_1J,Ontustik Kazakhstan,123.8,KAZ,,,,,,
2012.0,millions tonnes,_L_KZ_090102_1J,Pavlodar,76.6,KAZ,,,,,,
2012.0,millions tonnes,_L_KZ_090102_1J,Soltustik Kazakhstan,46.1,KAZ,,,,,,
2012.0,millions tonnes,_L_KZ_090102_1J,Shygys Kazakhstan,476.6,KAZ,,,,,,
2012.0,millions tonnes,_L_KZ_090102_1J,Nur-Sultan city,112.6,KAZ,,,,,,
2012.0,millions tonnes,_L_KZ_090102_1J,Almaty city,168.3,KAZ,,,,,,
2012.0,mln.people,Passengers transported by all means of transport,,18455.7,KAZ,,,,,,
2012.0,mln.people,Passengers transported by all means of transport,Akmola,1482.1,KAZ,,,,,,
2012.0,mln.people,Passengers transported by all means of transport,Aktobe,220.1,KAZ,,,,,,
2012.0,mln.people,Passengers transported by all means of transport,Almaty,597.2,KAZ,,,,,,
2012.0,mln.people,Passengers transported by all means of transport,Atyrau,155.4,KAZ,,,,,,
2012.0,mln.people,Passengers transported by all means of transport,Batys Kazakhstan,402.2,KAZ,,,,,,
2012.0,mln.people,Passengers transported by all means of transport,Zhambyl,802.8,KAZ,,,,,,
2012.0,mln.people,Passengers transported by all means of transport,Karagandy,2111.4,KAZ,,,,,,
2012.0,mln.people,Passengers transported by all means of transport,Kostanay,1575.5,KAZ,,,,,,
2012.0,mln.people,Passengers transported by all means of transport,Kyzylorda,2323.7,KAZ,,,,,,
2012.0,mln.people,Passengers transported by all means of transport,Mangistau,81.5,KAZ,,,,,,
2012.0,mln.people,Passengers transported by all means of transport,Ontustik Kazakhstan,2148.8,KAZ,,,,,,
2012.0,mln.people,Passengers transported by all means of transport,Pavlodar,1166.3,KAZ,,,,,,
2012.0,mln.people,Passengers transported by all means of transport,Soltustik Kazakhstan,4706.9,KAZ,,,,,,
2012.0,mln.people,Passengers transported by all means of transport,Shygys Kazakhstan,1459.9,KAZ,,,,,,
2012.0,mln.people,Passengers transported by all means of transport,Nur-Sultan city,1750.0,KAZ,,,,,,
