Year,UNIT_MEASURE,SERIES,Regions,Value,M49_country_code,COMPOSITE_BREAKDOWN
2016,thousands,_L_KZ_170602_1B,Batys Kazakhstan,22.6,KAZ,
2016,thousands,_L_KZ_170602_1B,Zhambyl,37.1,KAZ,
2016,thousands,_L_KZ_170602_1B,Karagandy,74.6,KAZ,
2016,thousands,_L_KZ_170602_1B,Kostanay,46.0,KAZ,
2016,thousands,_L_KZ_170602_1B,Kyzylorda,24.8,KAZ,
2016,thousands,_L_KZ_170602_1B,Mangistau,21.5,KAZ,
2016,thousands,_L_KZ_170602_1B,Ontustik Kazakhstan,60.0,KAZ,
2016,thousands,_L_KZ_170602_1B,Pavlodar,44.1,KAZ,
2016,thousands,_L_KZ_170602_1B,Soltustik Kazakhstan,39.7,KAZ,
2016,thousands,_L_KZ_170602_1B,Shygys Kazakhstan,53.0,KAZ,
2016,thousands,_L_KZ_170602_1B,Nur-Sultan city,58.5,KAZ,
2016,thousands,_L_KZ_170602_1B,Almaty city,95.9,KAZ,
2016,thousands,_L_KZ_170602_1A,Akmola,24.7,KAZ,
2016,thousands,_L_KZ_170602_1A,Aktobe,22.4,KAZ,
2016,thousands,_L_KZ_170602_1A,Almaty,26.2,KAZ,
2016,thousands,_L_KZ_170602_1A,Atyrau,21.1,KAZ,
2016,thousands,_L_KZ_170602_1A,Batys Kazakhstan,15.0,KAZ,
2016,thousands,_L_KZ_170602_1A,Zhambyl,13.7,KAZ,
2016,thousands,_L_KZ_170602_1A,Karagandy,73.0,KAZ,
2016,thousands,_L_KZ_170602_1A,Kostanay,39.0,KAZ,
2016,thousands,_L_KZ_170602_1A,Kyzylorda,11.4,KAZ,
2016,thousands,_L_KZ_170602_1A,Mangistau,27.2,KAZ,
2016,thousands,_L_KZ_170602_1A,Ontustik Kazakhstan,21.6,KAZ,
2016,thousands,_L_KZ_170602_1A,Pavlodar,50.1,KAZ,
2016,thousands,_L_KZ_170602_1A,Soltustik Kazakhstan,23.5,KAZ,
2016,thousands,_L_KZ_170602_1A,Shygys Kazakhstan,51.6,KAZ,
2016,thousands,_L_KZ_170602_1A,Nur-Sultan city,77.6,KAZ,
2016,thousands,_L_KZ_170602_1A,Almaty city,728.9,KAZ,
2017,thousands,,,2576.0,KAZ,
2017,thousands,_L_KZ_170602_1C,,71.3,KAZ,
2017,thousands,_L_KZ_170602_1C,Akmola,3.8,KAZ,
2017,thousands,_L_KZ_170602_1C,Aktobe,3.2,KAZ,
2017,thousands,_L_KZ_170602_1C,Almaty,1.2,KAZ,
2017,thousands,_L_KZ_170602_1C,Atyrau,4.2,KAZ,
2017,thousands,_L_KZ_170602_1C,Batys Kazakhstan,1.6,KAZ,
2017,thousands,_L_KZ_170602_1C,Zhambyl,0.8,KAZ,
2017,thousands,_L_KZ_170602_1C,Karagandy,1.6,KAZ,
2017,thousands,_L_KZ_170602_1C,Kostanay,5.9,KAZ,
2017,thousands,_L_KZ_170602_1C,Kyzylorda,3.9,KAZ,
2017,thousands,_L_KZ_170602_1C,Mangistau,5.8,KAZ,
2017,thousands,_L_KZ_170602_1C,Ontustik Kazakhstan,4.1,KAZ,
2017,thousands,_L_KZ_170602_1C,Pavlodar,0.9,KAZ,
2017,thousands,_L_KZ_170602_1C,Soltustik Kazakhstan,4.9,KAZ,
2017,thousands,_L_KZ_170602_1C,Shygys Kazakhstan,3.0,KAZ,
2017,thousands,_L_KZ_170602_1C,Nur-Sultan city,21.7,KAZ,
2017,thousands,_L_KZ_170602_1C,Almaty city,5.0,KAZ,
2017,thousands,_L_KZ_170602_1B,,987.3,KAZ,
2017,thousands,_L_KZ_170602_1B,Akmola,73.5,KAZ,
2017,thousands,_L_KZ_170602_1B,Aktobe,49.5,KAZ,
2017,thousands,_L_KZ_170602_1B,Almaty,123.2,KAZ,
2017,thousands,_L_KZ_170602_1B,Atyrau,49.0,KAZ,
2017,thousands,_L_KZ_170602_1B,Batys Kazakhstan,26.3,KAZ,
2017,thousands,_L_KZ_170602_1B,Zhambyl,41.7,KAZ,
2017,thousands,_L_KZ_170602_1B,Karagandy,83.6,KAZ,
2017,thousands,_L_KZ_170602_1B,Kostanay,66.4,KAZ,
2017,thousands,_L_KZ_170602_1B,Kyzylorda,33.9,KAZ,
2017,thousands,_L_KZ_170602_1B,Mangistau,31.4,KAZ,
2017,thousands,_L_KZ_170602_1B,Ontustik Kazakhstan,71.5,KAZ,
2017,thousands,_L_KZ_170602_1B,Pavlodar,48.6,KAZ,
