Year,UNIT_MEASURE,SERIES,Regions,Value,M49_country_code
2013,thousands hectares,_L_KZ_150201_1A,Shygys Kazakhstan,2000.8,KAZ
2013,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],,412.2,KAZ
2013,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Akmola,45.4,KAZ
2013,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Aktobe,1.1,KAZ
2013,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Almaty,40.7,KAZ
2013,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Atyrau,0.5,KAZ
2013,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Batys Kazakhstan,8.3,KAZ
2013,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Zhambyl,3.4,KAZ
2013,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Karagandy,4.6,KAZ
2013,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Kostanay,15.5,KAZ
2013,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Kyzylorda,5.9,KAZ
2013,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Mangistau,0.1,KAZ
2013,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Pavlodar,27.0,KAZ
2013,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Soltustik Kazakhstan,52.0,KAZ
2013,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Turkistan,3.1,KAZ
2013,M_METER3,Above-ground biomass in forest (tonnes) [15.2.1],Shygys Kazakhstan,204.6,KAZ
2013,Percent,_L_KZ_150201_1B,,45.29999999999927,KAZ
2013,Percent,_L_KZ_150201_1B,Akmola,1.3000000000000114,KAZ
2013,Percent,_L_KZ_150201_1B,Aktobe,1.8999999999999984,KAZ
2013,Percent,_L_KZ_150201_1B,Almaty,2.700000000000045,KAZ
2013,Percent,_L_KZ_150201_1B,Atyrau,0.5999999999999979,KAZ
2013,Percent,_L_KZ_150201_1B,Batys Kazakhstan,0.0,KAZ
2013,Percent,_L_KZ_150201_1B,Zhambyl,8.699999999999818,KAZ
2013,Percent,_L_KZ_150201_1B,Karagandy,-0.4000000000000057,KAZ
2013,Percent,_L_KZ_150201_1B,Kostanay,4.900000000000006,KAZ
2013,Percent,_L_KZ_150201_1B,Kyzylorda,-1.800000000000182,KAZ
2013,Percent,_L_KZ_150201_1B,Mangistau,-0.3999999999999915,KAZ
2013,Percent,_L_KZ_150201_1B,Pavlodar,1.2,KAZ
2013,Percent,_L_KZ_150201_1B,Soltustik Kazakhstan,-0.4000000000000909,KAZ
2013,Percent,_L_KZ_150201_1B,Turkistan,0.1000000000001364,KAZ
2013,Percent,_L_KZ_150201_1B,Shygys Kazakhstan,26.700000000000045,KAZ
2013,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],,100.0,KAZ
2013,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Akmola,9.0,KAZ
2013,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Aktobe,0.0,KAZ
2013,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Almaty,13.0,KAZ
2013,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Atyrau,0.0,KAZ
2013,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Batys Kazakhstan,0.0,KAZ
2013,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Zhambyl,0.0,KAZ
2013,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Karagandy,4.0,KAZ
2013,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Kostanay,0.0,KAZ
2013,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Kyzylorda,3.0,KAZ
2013,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Mangistau,0.0,KAZ
2013,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Pavlodar,11.0,KAZ
2013,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Soltustik Kazakhstan,7.0,KAZ
2013,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Turkistan,3.0,KAZ
2013,thousands hectares,Proportion of forest area within legally established protected areas [15.2.1],Shygys Kazakhstan,50.0,KAZ
2013,thousands hectares,Proportion of forest area with a long-term management plan [15.2.1],,12593.9,KAZ
