Year,UNIT_MEASURE,Regions,Area,Sex,Value,M49_country_code
2011,per 100000 population,Almaty,,Female,6.75,KAZ
2011,per 100000 population,Atyrau,,Female,2.55,KAZ
2011,per 100000 population,Batys Kazakhstan,,Female,11.71,KAZ
2011,per 100000 population,Zhambyl,,Female,6.69,KAZ
2011,per 100000 population,Karagandy,,Female,9.37,KAZ
2011,per 100000 population,Kostanay,,Female,13.12,KAZ
2011,per 100000 population,Kyzylorda,,Female,1.98,KAZ
2011,per 100000 population,Mangistau,,Female,6.68,KAZ
2011,per 100000 population,Ontustik Kazakhstan,,Female,4.96,KAZ
2011,per 100000 population,Pavlodar,,Female,12.39,KAZ
2011,per 100000 population,Soltustik Kazakhstan,,Female,6.18,KAZ
2011,per 100000 population,Shygys Kazakhstan,,Female,11.05,KAZ
2011,per 100000 population,Nur-Sultan city,,Female,3.77,KAZ
2011,per 100000 population,Almaty city,,Female,2.57,KAZ
2011,per 100000 population,,urban,Female,6.46,KAZ
2011,per 100000 population,Akmola,urban,Female,9.88,KAZ
2011,per 100000 population,Aktobe,urban,Female,5.88,KAZ
2011,per 100000 population,Almaty,urban,Female,7.77,KAZ
2011,per 100000 population,Atyrau,urban,Female,1.49,KAZ
2011,per 100000 population,Batys Kazakhstan,urban,Female,12.69,KAZ
2011,per 100000 population,Zhambyl,urban,Female,7.61,KAZ
2011,per 100000 population,Karagandy,urban,Female,9.16,KAZ
2011,per 100000 population,Kostanay,urban,Female,10.34,KAZ
2011,per 100000 population,Kyzylorda,urban,Female,2.61,KAZ
2011,per 100000 population,Mangistau,urban,Female,6.98,KAZ
2011,per 100000 population,Ontustik Kazakhstan,urban,Female,4.55,KAZ
2011,per 100000 population,Pavlodar,urban,Female,10.46,KAZ
2011,per 100000 population,Soltustik Kazakhstan,urban,Female,3.82,KAZ
2011,per 100000 population,Shygys Kazakhstan,urban,Female,8.68,KAZ
2011,per 100000 population,Nur-Sultan city,urban,Female,3.77,KAZ
2011,per 100000 population,Almaty city,urban,Female,2.57,KAZ
2011,per 100000 population,,rural,Female,8.11,KAZ
2011,per 100000 population,Akmola,rural,Female,14.73,KAZ
2011,per 100000 population,Aktobe,rural,Female,5.32,KAZ
2011,per 100000 population,Almaty,rural,Female,6.43,KAZ
2011,per 100000 population,Atyrau,rural,Female,3.58,KAZ
2011,per 100000 population,Batys Kazakhstan,rural,Female,10.74,KAZ
2011,per 100000 population,Zhambyl,rural,Female,6.04,KAZ
2011,per 100000 population,Karagandy,rural,Female,10.18,KAZ
2011,per 100000 population,Kostanay,rural,Female,16.11,KAZ
2011,per 100000 population,Kyzylorda,rural,Female,1.49,KAZ
2011,per 100000 population,Mangistau,rural,Female,6.33,KAZ
2011,per 100000 population,Ontustik Kazakhstan,rural,Female,5.24,KAZ
2011,per 100000 population,Pavlodar,rural,Female,16.92,KAZ
2011,per 100000 population,Soltustik Kazakhstan,rural,Female,7.93,KAZ
2011,per 100000 population,Shygys Kazakhstan,rural,Female,14.57,KAZ
2012,per 100000 population,,,,19.68,KAZ
2012,per 100000 population,Akmola,,,35.24,KAZ
2012,per 100000 population,Aktobe,,,21.49,KAZ
2012,per 100000 population,Almaty,,,21.11,KAZ
2012,per 100000 population,Atyrau,,,17.48,KAZ
2012,per 100000 population,Batys Kazakhstan,,,32.19,KAZ
2012,per 100000 population,Zhambyl,,,14.49,KAZ
2012,per 100000 population,Karagandy,,,26.83,KAZ
2012,per 100000 population,Kostanay,,,38.87,KAZ
2012,per 100000 population,Kyzylorda,,,14.17,KAZ
2012,per 100000 population,Mangistau,,,5.21,KAZ
2012,per 100000 population,Ontustik Kazakhstan,,,11.66,KAZ
2012,per 100000 population,Pavlodar,,,28.34,KAZ
2012,per 100000 population,Soltustik Kazakhstan,,,8.42,KAZ
2012,per 100000 population,Shygys Kazakhstan,,,30.91,KAZ
2012,per 100000 population,Nur-Sultan city,,,10.12,KAZ
2012,per 100000 population,Almaty city,,,7.25,KAZ
2012,per 100000 population,,urban,,17.11,KAZ
2012,per 100000 population,Akmola,urban,,29.15,KAZ
2012,per 100000 population,Aktobe,urban,,16.19,KAZ
2012,per 100000 population,Almaty,urban,,23.87,KAZ
2012,per 100000 population,Atyrau,urban,,16.26,KAZ
2012,per 100000 population,Batys Kazakhstan,urban,,24.99,KAZ
2012,per 100000 population,Zhambyl,urban,,13.41,KAZ
2012,per 100000 population,Karagandy,urban,,24.39,KAZ
2012,per 100000 population,Kostanay,urban,,31.87,KAZ
2012,per 100000 population,Kyzylorda,urban,,15.69,KAZ
2012,per 100000 population,Mangistau,urban,,6.32,KAZ
