Year,UNIT_MEASURE,Regions,Value,M49_country_code
2016,thousands hectares,Akmola,571.6,KAZ
2016,thousands hectares,Aktobe,2582.5,KAZ
2016,thousands hectares,Almaty,5767.9,KAZ
2016,thousands hectares,Atyrau,3133.9,KAZ
2016,thousands hectares,Batys Kazakhstan,1875.9,KAZ
2016,thousands hectares,Zhambyl,2636.7,KAZ
2016,thousands hectares,Karagandy,960.1,KAZ
2016,thousands hectares,Kostanay,769.9,KAZ
2016,thousands hectares,Kyzylorda,2849.6,KAZ
2016,thousands hectares,Mangistau,1456.3,KAZ
2016,thousands hectares,Pavlodar,1297.2,KAZ
2016,thousands hectares,Soltustik Kazakhstan,56.0,KAZ
2016,thousands hectares,Turkistan,4066.6,KAZ
2016,thousands hectares,Shygys Kazakhstan,1292.6,KAZ
2016,thousands hectares,Almaty city,0.1,KAZ
2016,thousands hectares,Shymkent city,23.2,KAZ
2017,thousands hectares,,18.38984438984439,KAZ
2017,thousands hectares,Akmola,571.6,KAZ
2017,thousands hectares,Aktobe,2582.5,KAZ
2017,thousands hectares,Almaty,5767.9,KAZ
2017,thousands hectares,Atyrau,3133.9,KAZ
2017,thousands hectares,Batys Kazakhstan,1875.9,KAZ
2017,thousands hectares,Zhambyl,2636.7,KAZ
2017,thousands hectares,Karagandy,960.1,KAZ
2017,thousands hectares,Kostanay,769.9,KAZ
2017,thousands hectares,Kyzylorda,2849.6,KAZ
2017,thousands hectares,Mangistau,1456.3,KAZ
2017,thousands hectares,Pavlodar,1297.2,KAZ
2017,thousands hectares,Soltustik Kazakhstan,56.0,KAZ
2017,thousands hectares,Turkistan,4066.6,KAZ
2017,thousands hectares,Shygys Kazakhstan,1292.6,KAZ
2017,thousands hectares,Almaty city,0.1,KAZ
2017,thousands hectares,Shymkent city,23.2,KAZ
2018,thousands hectares,,21.26648599819332,KAZ
2018,thousands hectares,Akmola,571.6,KAZ
2018,thousands hectares,Aktobe,2582.5,KAZ
2018,thousands hectares,Almaty,5767.9,KAZ
2018,thousands hectares,Atyrau,3133.9,KAZ
2018,thousands hectares,Batys Kazakhstan,1875.9,KAZ
2018,thousands hectares,Zhambyl,2636.7,KAZ
2018,thousands hectares,Karagandy,960.1,KAZ
2018,thousands hectares,Kostanay,769.9,KAZ
2018,thousands hectares,Kyzylorda,2849.6,KAZ
2018,thousands hectares,Mangistau,1456.3,KAZ
2018,thousands hectares,Pavlodar,1297.2,KAZ
2018,thousands hectares,Soltustik Kazakhstan,56.0,KAZ
2018,thousands hectares,Turkistan,4066.6,KAZ
2018,thousands hectares,Shygys Kazakhstan,1292.6,KAZ
2018,thousands hectares,Almaty city,0.1,KAZ
